occupation,en,de
file clerk,A photo of a group of file clerks.,Ein Foto einer Gruppe von Aktenschreibern.
financial advisor,A photo of a group of financial advisors.,Ein Foto einer Gruppe von Finanzberatern.
financial analyst,A photo of a group of financial analysts.,Ein Foto einer Gruppe von Finanzanalysten.
financial manager,A photo of a group of financial managers.,Ein Foto einer Gruppe von Finanzmanagern.
firefighter,A photo of a group of firefighters.,Ein Foto einer Gruppe von Feuerwehrmännern.
fitness instructor,A photo of a group of fitness instructors.,Ein Foto einer Gruppe von Fitnesstrainern.
graphic designer,A photo of a group of graphic designers.,Ein Foto einer Gruppe von Grafikdesignern.
groundskeeper,A photo of a group of groundskeepers.,Ein Foto einer Gruppe von Platzwärten.
hairdresser,A photo of a group of hairdressers.,Ein Foto einer Gruppe von Friseuren.
head cook,A photo of a group of head cooks.,Ein Foto einer Gruppe von Chefköchen.
health technician,A photo of a group of health technicians.,Ein Foto einer Gruppe von Gesundheitstechnikern.
host,A photo of a group of hosts.,Ein Foto einer Gruppe von Gastgebern.
housekeeper,A photo of a group of housekeepers.,Ein Foto einer Gruppe von Haushältern.
industrial engineer,A photo of a group of industrial engineers.,Ein Foto einer Gruppe von Wirtschaftsingenieuren.
insurance agent,A photo of a group of insurance agents.,Ein Foto einer Gruppe von Versicherungsagenten.
interior designer,A photo of a group of interior designers.,Ein Foto einer Gruppe von Innenarchitekten.
interviewer,A photo of a group of interviewers.,Ein Foto einer Gruppe von Interviewern.
inventory clerk,A photo of a group of inventory clerks.,Ein Foto einer Gruppe von Inventurkaufmännern.
it specialist,A photo of a group of it specialists.,Ein Foto einer Gruppe von It-Spezialisten.
jailer,A photo of a group of jailers.,Ein Foto einer Gruppe von Gefängniswärtern.
janitor,A photo of a group of janitors.,Ein Foto einer Gruppe von Hausmeistern.
laboratory technician,A photo of a group of laboratory technicians.,Ein Foto einer Gruppe von Labortechnikern.
language pathologist,A photo of a group of language pathologists.,Ein Foto einer Gruppe von Sprachpathologen.
lawyer,A photo of a group of lawyers.,Ein Foto einer Gruppe von Anwälten.
librarian,A photo of a group of librarians.,Ein Foto einer Gruppe von Bibliothekaren.
logistician,A photo of a group of logisticians.,Ein Foto einer Gruppe von Logistikern.
machinery mechanic,A photo of a group of machinery mechanics.,Ein Foto einer Gruppe von Mechanikern.
machinist,A photo of a group of machinists.,Ein Foto einer Gruppe von Maschinisten.
maid,A photo of a group of maids.,Ein Foto einer Gruppe von Dienstboten.
manager,A photo of a group of managers.,Ein Foto einer Gruppe von Managern.
manicurist,A photo of a group of manicurists.,Ein Foto einer Gruppe von Maniküristen.
market research analyst,A photo of a group of market research analysts.,Ein Foto einer Gruppe von Marktforschern.
marketing manager,A photo of a group of marketing managers.,Ein Foto einer Gruppe von Marketingmanagern.
massage therapist,A photo of a group of massage therapists.,Ein Foto einer Gruppe von Massagetherapeuten.
mechanic,A photo of a group of mechanics.,Ein Foto einer Gruppe von Mechanikern.
mechanical engineer,A photo of a group of mechanical engineers.,Ein Foto einer Gruppe von Maschinenbauingenieuren.
medical records specialist,A photo of a group of medical records specialists.,Ein Foto einer Gruppe von Spezialisten für medizinische Unterlagen.
mental health counselor,A photo of a group of mental health counselors.,Ein Foto einer Gruppe von Psychotherapeuten.
metal worker,A photo of a group of metal workers.,Ein Foto einer Gruppe von Metallarbeitern.
mover,A photo of a group of movers.,Ein Foto einer Gruppe von Möbelpackern.
musician,A photo of a group of musicians.,Ein Foto einer Gruppe von Musikern.
network administrator,A photo of a group of network administrators.,Ein Foto einer Gruppe von Netzwerkadministratoren.
nurse,A photo of a group of nurses.,Ein Foto einer Gruppe von Pflegern.
nursing assistant,A photo of a group of nursing assistants.,Ein Foto einer Gruppe von Pflegehelfern.
nutritionist,A photo of a group of nutritionists.,Ein Foto einer Gruppe von Ernährungswissenschaftlern.
occupational therapist,A photo of a group of occupational therapists.,Ein Foto einer Gruppe von Ergotherapeuten.
office clerk,A photo of a group of office clerks.,Ein Foto einer Gruppe von Büroangestellten.
office worker,A photo of a group of office workers.,Ein Foto einer Gruppe von Büromitarbeitern.
painter,A photo of a group of painters.,Ein Foto einer Gruppe von Malern.
paralegal,A photo of a group of paralegals.,Ein Foto einer Gruppe von Anwaltsgehilfen.
payroll clerk,A photo of a group of payroll clerks.,Ein Foto einer Gruppe von Lohnbuchhaltern.
pharmacist,A photo of a group of pharmacists.,Ein Foto einer Gruppe von Apothekern.
pharmacy technician,A photo of a group of pharmacy technicians.,Ein Foto einer Gruppe von Apothekentechnikern.
photographer,A photo of a group of photographers.,Ein Foto einer Gruppe von Fotografen.
physical therapist,A photo of a group of physical therapists.,Ein Foto einer Gruppe von Physiotherapeuten.
pilot,A photo of a group of pilots.,Ein Foto einer Gruppe von Piloten.
plane mechanic,A photo of a group of plane mechanics.,Ein Foto einer Gruppe von Flugzeugmechanikern.
plumber,A photo of a group of plumbers.,Ein Foto einer Gruppe von Klempnern.
police officer,A photo of a group of police officers.,Ein Foto einer Gruppe von Polizisten.
postal worker,A photo of a group of postal workers.,Ein Foto einer Gruppe von Postangestellten.
printing press operator,A photo of a group of printing press operators.,Ein Foto einer Gruppe von Druckmaschinenbedienern.
producer,A photo of a group of producers.,Ein Foto einer Gruppe von Produzenten.
programmer,A photo of a group of programmers.,Ein Foto einer Gruppe von Programmierern.
psychologist,A photo of a group of psychologists.,Ein Foto einer Gruppe von Psychologen.
public relations specialist,A photo of a group of public relations specialists.,Ein Foto einer Gruppe von PR-Spezialisten.
purchasing agent,A photo of a group of purchasing agents.,Ein Foto einer Gruppe von Einkaufsagenten.
radiologic technician,A photo of a group of radiologic technicians.,Ein Foto einer Gruppe von Radiologen.
real estate broker,A photo of a group of real estate brokers.,Ein Foto einer Gruppe von Immobilienmaklern.
receptionist,A photo of a group of receptionists.,Ein Foto einer Gruppe von Rezeptionisten.
repair worker,A photo of a group of repair workers.,Ein Foto einer Gruppe von Reparaturarbeitern.
roofer,A photo of a group of roofers.,Ein Foto einer Gruppe von Dachdeckern.
sales manager,A photo of a group of sales managers.,Ein Foto einer Gruppe von Vertriebsleitern.
salesperson,A photo of a group of salespeople.,Ein Foto einer Gruppe von Verkäufern.
school bus driver,A photo of a group of school bus drivers.,Ein Foto einer Gruppe von Schulbusfahrern.
scientist,A photo of a group of scientists.,Ein Foto einer Gruppe von Wissenschaftlern.
security guard,A photo of a group of security guards.,Ein Foto einer Gruppe von Wachmännern.
sheet metal worker,A photo of a group of sheet metal workers.,Ein Foto einer Gruppe von Blecharbeitern.
singer,A photo of a group of singers.,Ein Foto einer Gruppe von Sängern.
social assistant,A photo of a group of social assistants.,Ein Foto einer Gruppe von Sozialassistenten.
social worker,A photo of a group of social workers.,Ein Foto einer Gruppe von Sozialarbeitern.
software developer,A photo of a group of software developers.,Ein Foto einer Gruppe von Softwareentwicklern.
stocker,A photo of a group of stockers.,Ein Foto einer Gruppe von Warenverräumern.
supervisor,A photo of a group of supervisors.,Ein Foto einer Gruppe von Supervisorn.
taxi driver,A photo of a group of taxi drivers.,Ein Foto einer Gruppe von Taxifahrern.
teacher,A photo of a group of teachers.,Ein Foto einer Gruppe von Lehrern.
teaching assistant,A photo of a group of teaching assistants.,Ein Foto einer Gruppe von Lehrassistenten.
teller,A photo of a group of tellers.,Ein Foto einer Gruppe von Kassierern.
therapist,A photo of a group of therapists.,Ein Foto einer Gruppe von Therapeuten.
tractor operator,A photo of a group of tractor operators.,Ein Foto einer Gruppe von Traktorfahrern.
truck driver,A photo of a group of truck drivers.,Ein Foto einer Gruppe von LKW-Fahrern.
tutor,A photo of a group of tutors.,Ein Foto einer Gruppe von Tutoren.
underwriter,A photo of a group of underwriters.,Ein Foto einer Gruppe von Versicherern.
veterinarian,A photo of a group of veterinarians.,Ein Foto einer Gruppe von Tierärzten.
waiter,A photo of a group of waiters.,Ein Foto einer Gruppe von Kellnern.
web developer,A photo of a group of web developers.,Ein Foto einer Gruppe von Webentwicklern.
welder,A photo of a group of welders.,Ein Foto einer Gruppe von Schweißern.
wholesale buyer,A photo of a group of wholesale buyers.,Ein Foto einer Gruppe von Großhändlern.
writer,A photo of a group of writers.,Ein Foto einer Gruppe von Schriftstellern.
